num_replicates,num_spots,avg over iters,iter 1,iter 2,iter 3,iter 4,iter 5,iter 6,iter 7,iter 8,iter 9,iter 10
2,50,0.704,0.740,0.740,0.540,0.440,0.680,0.760,0.720,0.800,0.840,0.780
,75,0.484,0.680,0.547,0.573,0.667,0.120,0.173,0.547,0.707,0.627,0.200
,100,0.237,0.060,0.360,0.670,0.010,0.060,0.050,0.640,0.050,0.420,0.050
,125,0.352,0.160,0.448,0.504,0.096,0.520,0.504,0.152,0.424,0.624,0.088
,150,0.269,0.247,0.553,0.547,0.040,0.433,0.040,0.467,0.113,0.133,0.120
,175,0.286,0.086,0.491,0.457,0.246,0.074,0.114,0.440,0.463,0.000,0.491
,200,0.281,0.460,0.115,0.480,0.005,0.010,0.225,0.560,0.460,0.005,0.485
,225,0.103,0.124,0.271,0.018,0.009,0.156,0.080,0.196,0.124,0.022,0.031
3,50,0.808,0.940,0.920,0.920,0.840,0.200,0.920,0.900,0.840,0.760,0.840
,75,0.603,0.707,0.133,0.840,0.467,0.893,0.227,0.267,0.907,0.733,0.853
,100,0.520,0.660,0.130,0.020,0.730,0.580,0.630,0.670,0.620,0.710,0.450
,125,0.474,0.160,0.712,0.696,0.592,0.120,0.096,0.656,0.416,0.600,0.688
,150,0.317,0.160,0.480,0.133,0.267,0.627,0.327,0.693,0.253,0.080,0.153
,175,0.315,0.537,0.577,0.171,0.577,0.354,0.114,0.114,0.103,0.257,0.349
,200,0.119,0.180,0.075,0.315,0.125,0.165,0.095,0.015,0.115,0.015,0.085
,225,0.186,0.236,0.013,0.373,0.022,0.209,0.187,0.569,0.164,0.018,0.067
4,50,0.910,0.920,0.920,0.920,0.940,0.940,0.760,0.920,0.940,0.940,0.900
,75,0.765,0.920,0.813,0.280,0.880,0.867,0.893,0.800,0.680,0.640,0.880
,100,0.577,0.700,0.080,0.690,0.680,0.800,0.540,0.670,0.500,0.560,0.550
,125,0.343,0.800,0.104,0.656,0.128,0.200,0.152,0.400,0.704,0.104,0.184
,150,0.169,0.093,0.093,0.147,0.427,0.160,0.087,0.120,0.153,0.067,0.347
,175,0.241,0.149,0.166,0.657,0.183,0.286,0.251,0.126,0.166,0.143,0.280
,200,0.257,0.215,0.385,0.345,0.350,0.580,0.285,0.115,0.115,0.080,0.100
,225,0.366,0.182,0.640,0.138,0.462,0.196,0.213,0.613,0.631,0.169,0.418
5,50,0.818,0.940,0.920,0.800,0.940,0.340,0.900,0.760,0.860,0.940,0.780
,75,0.699,0.640,0.693,0.907,0.613,0.907,0.293,0.653,0.613,0.773,0.893
,100,0.415,0.100,0.120,0.260,0.620,0.670,0.850,0.680,0.150,0.680,0.020
,125,0.369,0.184,0.640,0.264,0.112,0.200,0.160,0.560,0.728,0.656,0.184
,150,0.374,0.120,0.273,0.393,0.627,0.387,0.140,0.447,0.593,0.133,0.627
,175,0.462,0.651,0.400,0.720,0.194,0.291,0.583,0.714,0.309,0.446,0.314
,200,0.270,0.225,0.345,0.390,0.115,0.270,0.320,0.165,0.640,0.135,0.090
,225,0.303,0.240,0.720,0.089,0.444,0.204,0.258,0.227,0.387,0.418,0.040
6,50,0.918,0.940,0.900,0.940,0.920,0.940,0.920,0.920,0.940,0.940,0.820
,75,0.697,0.587,0.933,0.947,0.333,0.907,0.320,0.907,0.867,0.853,0.320
,100,0.560,0.780,0.120,0.140,0.840,0.130,0.870,0.820,0.450,0.670,0.780
,125,0.458,0.760,0.304,0.576,0.544,0.360,0.104,0.768,0.176,0.200,0.792
,150,0.435,0.347,0.720,0.393,0.753,0.780,0.133,0.127,0.193,0.447,0.460
,175,0.500,0.709,0.274,0.440,0.783,0.760,0.703,0.366,0.469,0.257,0.240
,200,0.348,0.260,0.380,0.320,0.275,0.395,0.265,0.550,0.305,0.365,0.360
,225,0.307,0.622,0.351,0.173,0.373,0.151,0.387,0.062,0.484,0.204,0.262
7,50,0.922,0.940,0.940,0.960,0.960,0.940,0.760,0.920,0.920,0.940,0.940
,75,0.897,0.960,0.960,0.947,0.880,0.960,0.907,0.840,0.693,0.920,0.907
,100,0.785,0.800,0.870,0.810,0.560,0.620,0.870,0.790,0.830,0.820,0.880
,125,0.583,0.608,0.720,0.768,0.640,0.184,0.584,0.792,0.264,0.696,0.576
,150,0.485,0.413,0.233,0.140,0.460,0.693,0.340,0.707,0.680,0.760,0.420
,175,0.573,0.714,0.794,0.714,0.509,0.520,0.149,0.806,0.354,0.811,0.354
,200,0.419,0.440,0.365,0.500,0.610,0.260,0.650,0.390,0.240,0.430,0.305
,225,0.406,0.316,0.436,0.191,0.738,0.458,0.640,0.271,0.191,0.524,0.293
8,50,0.948,0.960,0.940,0.940,0.940,0.960,0.960,0.960,0.940,0.960,0.920
,75,0.760,0.973,0.333,0.973,0.320,0.960,0.920,0.960,0.307,0.920,0.933
,100,0.639,0.160,0.830,0.870,0.790,0.600,0.640,0.880,0.600,0.140,0.880
,125,0.730,0.696,0.760,0.864,0.616,0.640,0.800,0.784,0.904,0.688,0.544
,150,0.587,0.260,0.873,0.133,0.680,0.700,0.553,0.760,0.767,0.693,0.453
,175,0.674,0.811,0.840,0.331,0.360,0.674,0.800,0.789,0.823,0.434,0.880
,200,0.549,0.650,0.235,0.430,0.710,0.820,0.445,0.495,0.300,0.670,0.735
,225,0.428,0.329,0.369,0.671,0.222,0.542,0.391,0.640,0.338,0.284,0.498
9,50,0.950,0.960,0.920,0.940,0.940,0.960,0.960,0.960,0.960,0.960,0.940
,75,0.951,0.920,0.920,0.960,0.973,0.973,0.947,0.973,0.947,0.947,0.947
,100,0.801,0.840,0.880,0.780,0.790,0.710,0.760,0.710,0.890,0.890,0.760
,125,0.777,0.792,0.928,0.568,0.864,0.816,0.816,0.576,0.616,0.912,0.880
,150,0.708,0.833,0.740,0.773,0.627,0.547,0.820,0.413,0.800,0.727,0.800
,175,0.801,0.754,0.811,0.486,0.874,0.863,0.829,0.863,0.823,0.869,0.840
,200,0.574,0.310,0.715,0.820,0.655,0.735,0.805,0.270,0.240,0.470,0.725
,225,0.484,0.493,0.729,0.773,0.436,0.276,0.556,0.471,0.436,0.316,0.356
10,50,0.934,0.960,0.940,0.760,0.960,0.960,0.960,0.940,0.940,0.960,0.960
,75,0.948,0.933,0.947,0.933,0.960,0.973,0.933,0.947,0.933,0.960,0.960
,100,0.773,0.890,0.810,0.700,0.570,0.630,0.890,0.760,0.910,0.750,0.820
,125,0.876,0.904,0.912,0.856,0.752,0.776,0.928,0.928,0.944,0.888,0.872
,150,0.753,0.520,0.807,0.840,0.840,0.820,0.867,0.820,0.840,0.493,0.680
,175,0.862,0.886,0.863,0.903,0.897,0.829,0.903,0.743,0.874,0.909,0.817
,200,0.742,0.785,0.690,0.760,0.845,0.685,0.740,0.570,0.765,0.765,0.820
,225,0.588,0.533,0.373,0.764,0.382,0.796,0.791,0.418,0.573,0.449,0.796
11,50,0.960,0.980,0.960,0.960,0.960,0.940,0.940,0.960,0.960,0.960,0.980
,75,0.968,0.960,0.973,0.987,0.960,0.960,0.960,0.960,0.973,0.973,0.973
,100,0.742,0.810,0.600,0.610,0.600,0.570,0.600,0.920,0.970,0.930,0.810
,125,0.853,0.616,0.960,0.968,0.880,0.968,0.784,0.896,0.944,0.584,0.928
,150,0.684,0.733,0.880,0.440,0.480,0.787,0.853,0.840,0.527,0.440,0.860
,175,0.899,0.903,0.949,0.857,0.891,0.909,0.897,0.851,0.909,0.886,0.943
,200,0.709,0.860,0.800,0.355,0.805,0.805,0.775,0.795,0.465,0.825,0.605
,225,0.601,0.804,0.604,0.209,0.342,0.747,0.800,0.636,0.356,0.813,0.702
12,50,0.944,0.820,0.960,0.980,0.940,0.960,0.980,0.960,0.920,0.960,0.960
,75,0.975,0.947,0.987,0.960,0.973,0.987,0.960,0.987,0.987,0.987,0.973
,100,0.873,0.790,0.870,0.800,0.900,0.950,0.930,0.720,0.860,0.930,0.980
,125,0.886,0.728,0.952,0.952,0.960,0.864,0.944,0.976,0.592,0.936,0.960
,150,0.851,0.880,0.853,0.860,0.860,0.773,0.860,0.873,0.800,0.853,0.893
,175,0.921,0.937,0.909,0.931,0.903,0.897,0.926,0.954,0.920,0.943,0.891
,200,0.767,0.660,0.750,0.860,0.510,0.810,0.840,0.765,0.780,0.860,0.830
,225,0.769,0.911,0.853,0.840,0.627,0.818,0.831,0.867,0.431,0.622,0.893
13,50,0.952,1.000,1.000,0.740,0.980,0.960,0.960,0.960,1.000,0.960,0.960
,75,0.984,0.973,0.973,0.947,0.987,0.987,1.000,0.987,0.987,1.000,1.000
,100,0.847,0.930,0.980,0.600,0.610,0.740,0.950,0.940,0.860,0.930,0.930
,125,0.906,0.944,0.880,0.944,0.960,0.872,0.936,0.920,0.944,0.928,0.728
,150,0.913,0.907,0.940,0.940,0.820,0.900,0.900,0.947,0.933,0.907,0.933
,175,0.921,0.914,0.920,0.903,0.931,0.914,0.937,0.903,0.926,0.926,0.937
,200,0.828,0.795,0.830,0.845,0.905,0.895,0.835,0.755,0.815,0.855,0.755
,225,0.696,0.520,0.764,0.613,0.689,0.604,0.858,0.596,0.867,0.511,0.942
14,50,0.984,1.000,1.000,0.960,1.000,0.980,0.980,0.980,0.960,1.000,0.980
,75,0.991,1.000,0.973,1.000,1.000,0.973,0.987,0.987,0.987,1.000,1.000
,100,0.875,0.970,0.940,0.960,0.760,0.750,0.870,0.880,0.760,0.970,0.890
,125,0.966,0.992,0.976,0.960,0.944,0.976,0.960,0.992,0.952,0.960,0.944
,150,0.860,0.927,0.533,0.853,0.920,0.933,0.907,0.873,0.893,0.900,0.860
,175,0.946,0.937,0.909,0.937,0.960,0.954,0.931,0.949,0.960,0.966,0.960
,200,0.874,0.740,0.870,0.885,0.910,0.900,0.895,0.875,0.880,0.920,0.860
,225,0.760,0.827,0.893,0.893,0.627,0.822,0.884,0.547,0.769,0.853,0.480
15,50,0.986,0.980,0.940,1.000,0.960,1.000,0.980,1.000,1.000,1.000,1.000
,75,0.993,1.000,1.000,1.000,1.000,0.973,0.987,1.000,1.000,0.973,1.000
,100,0.935,0.800,0.990,0.990,0.980,1.000,0.950,0.990,0.950,0.960,0.740
,125,0.966,0.960,0.960,0.976,0.984,0.936,0.968,0.976,0.944,0.992,0.960
,150,0.903,0.907,0.860,0.953,0.913,0.773,0.933,0.927,0.913,0.947,0.907
,175,0.956,0.960,0.949,0.960,0.960,0.949,0.960,0.960,0.943,0.966,0.954
,200,0.891,0.885,0.875,0.865,0.915,0.890,0.850,0.925,0.865,0.925,0.915
,225,0.810,0.942,0.849,0.902,0.796,0.920,0.876,0.853,0.653,0.787,0.524
16,50,0.982,1.000,1.000,0.980,0.980,0.960,0.980,0.980,0.980,0.960,1.000
,75,0.995,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.960,1.000,0.987
,100,0.938,0.970,0.990,0.860,0.980,1.000,0.830,0.970,0.800,1.000,0.980
,125,0.983,1.000,0.976,0.976,0.984,0.992,0.984,0.960,0.984,0.976,1.000
,150,0.936,0.947,0.947,0.960,0.953,0.860,0.947,0.947,0.927,0.920,0.953
,175,0.956,0.954,0.960,0.960,0.971,0.954,0.954,0.960,0.949,0.943,0.954
,200,0.897,0.855,0.905,0.895,0.855,0.910,0.935,0.910,0.935,0.925,0.840
,225,0.834,0.911,0.796,0.858,0.902,0.720,0.582,0.898,0.893,0.871,0.911
17,50,0.960,0.980,0.980,0.960,0.980,0.980,0.740,1.000,1.000,1.000,0.980
,75,0.997,1.000,1.000,1.000,1.000,1.000,0.987,0.987,1.000,1.000,1.000
,100,0.963,0.850,1.000,0.990,1.000,0.830,0.990,0.990,1.000,0.990,0.990
,125,0.988,0.976,0.992,1.000,0.984,0.992,0.992,0.992,1.000,0.984,0.968
,150,0.952,0.960,0.933,0.947,0.953,0.927,0.953,0.973,0.973,0.940,0.960
,175,0.962,0.949,0.949,0.949,0.966,0.966,0.971,0.960,0.960,0.977,0.971
,200,0.898,0.910,0.890,0.940,0.885,0.900,0.875,0.860,0.890,0.865,0.960
,225,0.884,0.889,0.942,0.898,0.809,0.893,0.911,0.751,0.902,0.920,0.920
18,50,0.992,0.980,1.000,0.980,1.000,1.000,0.980,1.000,1.000,1.000,0.980
,75,0.995,1.000,0.987,1.000,0.987,1.000,1.000,1.000,1.000,0.987,0.987
,100,0.953,0.830,1.000,0.840,0.880,0.990,0.990,1.000,1.000,1.000,1.000
,125,0.989,0.992,1.000,0.984,0.960,0.992,0.992,0.984,1.000,1.000,0.984
,150,0.953,0.967,0.933,0.953,0.933,0.967,0.967,0.947,0.960,0.960,0.947
,175,0.970,0.954,0.966,0.954,0.954,0.983,1.000,0.966,0.977,0.971,0.971
,200,0.920,0.935,0.905,0.925,0.945,0.900,0.925,0.915,0.910,0.950,0.890
,225,0.902,0.920,0.933,0.862,0.916,0.871,0.920,0.876,0.871,0.924,0.924
19,50,0.994,1.000,1.000,1.000,0.980,1.000,0.980,1.000,1.000,1.000,0.980
,75,0.997,1.000,0.987,1.000,1.000,1.000,0.987,1.000,1.000,1.000,1.000
,100,0.929,0.990,0.980,0.760,0.990,1.000,1.000,1.000,1.000,0.760,0.810
,125,0.988,0.984,0.992,0.976,0.992,0.984,0.984,1.000,0.984,0.992,0.992
,150,0.963,0.947,0.967,0.960,0.960,0.960,0.973,0.947,0.973,0.973,0.973
,175,0.972,0.966,0.971,0.977,0.977,0.971,0.983,0.960,0.977,0.971,0.966
,200,0.933,0.885,0.950,0.940,0.885,0.930,0.960,0.960,0.950,0.930,0.945
,225,0.920,0.880,0.929,0.938,0.862,0.911,0.947,0.880,0.947,0.964,0.947
20,50,0.994,1.000,1.000,0.980,1.000,1.000,1.000,0.980,0.980,1.000,1.000
,75,0.999,1.000,1.000,1.000,1.000,0.987,1.000,1.000,1.000,1.000,1.000
,100,0.978,0.990,1.000,1.000,1.000,0.850,0.990,1.000,0.990,0.960,1.000
,125,0.994,0.984,1.000,1.000,0.976,0.992,0.992,0.992,1.000,1.000,1.000
,150,0.969,0.967,0.953,0.980,0.960,0.973,0.953,0.980,0.973,0.980,0.967
,175,0.975,0.971,0.977,0.971,0.971,0.977,0.971,0.977,0.977,0.977,0.983
,200,0.952,0.975,0.945,0.970,0.940,0.945,0.925,0.955,0.950,0.965,0.955
,225,0.929,0.973,0.880,0.929,0.920,0.938,0.871,0.942,0.947,0.938,0.956
21,50,0.992,1.000,1.000,0.980,1.000,1.000,1.000,1.000,0.960,0.980,1.000
,75,0.999,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.987,1.000,1.000
,100,0.957,0.990,0.990,1.000,1.000,0.990,0.830,1.000,1.000,0.780,0.990
,125,0.986,0.976,0.992,0.968,1.000,0.984,0.992,0.992,0.992,0.984,0.984
,150,0.969,0.973,0.967,0.987,0.967,0.967,0.960,0.980,0.967,0.967,0.953
,175,0.974,0.971,0.977,0.983,0.971,0.971,0.977,0.971,0.960,0.977,0.977
,200,0.950,0.905,0.950,0.950,0.960,0.940,0.970,0.950,0.960,0.965,0.955
,225,0.941,0.947,0.929,0.942,0.951,0.942,0.951,0.951,0.938,0.956,0.902
22,50,0.990,0.960,1.000,1.000,0.980,1.000,0.980,1.000,1.000,1.000,0.980
,75,0.999,1.000,1.000,1.000,0.987,1.000,1.000,1.000,1.000,1.000,1.000
,100,0.983,0.890,1.000,0.990,1.000,1.000,0.990,1.000,0.990,0.970,1.000
,125,0.984,0.976,0.976,0.984,0.992,0.984,0.992,0.984,0.976,0.992,0.984
,150,0.977,0.967,0.980,0.980,0.973,0.980,0.973,0.973,0.980,0.980,0.987
,175,0.976,0.971,0.983,0.983,0.966,0.983,0.977,0.989,0.966,0.971,0.971
,200,0.957,0.950,0.950,0.960,0.955,0.965,0.960,0.960,0.965,0.965,0.945
,225,0.943,0.933,0.942,0.933,0.951,0.929,0.951,0.969,0.960,0.938,0.920
23,50,0.998,1.000,1.000,1.000,1.000,0.980,1.000,1.000,1.000,1.000,1.000
,75,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,
,100,0.974,0.990,0.990,0.990,0.990,0.980,0.990,0.990,0.990,0.840,0.990
,125,0.988,0.992,1.000,0.984,0.984,0.992,0.976,0.984,0.984,0.992,0.992
,150,0.971,0.967,0.967,0.967,0.967,0.973,0.973,0.967,0.967,0.980,0.980
,175,0.977,0.989,0.960,0.983,0.983,0.971,0.960,0.977,0.983,0.977,0.983
,200,0.968,0.965,0.975,0.985,0.965,0.970,0.965,0.970,0.950,0.965,0.970
,225,0.948,0.956,0.964,0.938,0.964,0.947,0.902,0.960,0.973,0.933,0.947
24,50,0.996,1.000,1.000,0.980,1.000,0.980,1.000,1.000,1.000,1.000,1.000
,75,0.997,1.000,1.000,1.000,1.000,0.987,1.000,1.000,1.000,0.987,1.000
,200,0.966,0.970,0.960,0.970,0.970,0.970,0.965,0.965,0.965,0.965,0.965
,225,0.957,0.973,0.973,0.902,0.973,0.973,0.969,0.951,0.960,0.951,0.947